sample_id,temperature_C,humidity_pct,power_kW,airflow_cfm,water_flow_L,smoke_ppm,water_leak,motion_detected,door_open,hour_of_day,cooling_mode,PUE,WUE,alert_flag,temperature_C_raw,humidity_pct_raw,power_kW_raw,airflow_cfm_raw,water_flow_L_raw,smoke_ppm_raw,temperature_C_delta,humidity_pct_delta,power_kW_delta,airflow_cfm_delta,water_flow_L_delta,smoke_ppm_delta,temperature_C_rollstd,humidity_pct_rollstd,power_kW_rollstd,airflow_cfm_rollstd,water_flow_L_rollstd,smoke_ppm_rollstd,hour_sin,hour_cos,flag_temp_high,flag_smoke_warn,flag_smoke_crit,flag_humidity_low,flag_humidity_high,flag_power_high,flag_airflow_low,flag_night_motion,label_encoded
22,0.38435186208420813,0.5204333831474883,0.52068785825951,0.4864717717455024,0.14393346280159836,0.5078994905712674,0,1,0,16,air,1.501,0.876,0,20.65,49.69,70.1,942.9,11.57,47.1,-0.0004,-0.0309,0.0447,0.0251,0.0098,-0.0061,0.1135,0.067,0.109,0.0573,0.0079,0.206,-0.866,-0.5,0,1,0,0,0,0,0,0,0
23,0.3697646148745719,0.47370387400850666,0.5080562793121417,0.4849050223457635,0.13815822919949977,0.4822846875089605,0,0,0,1,air,1.458,0.603,0,20.74,45.75,63.54,784.3,10.33,46.3,-0.0146,-0.0467,-0.0126,-0.0016,-0.0058,-0.0256,0.0968,0.0648,0.0798,0.0433,0.0043,0.1555,0.2588,0.9659,0,1,0,0,0,0,0,0,0
24,0.32489777876008397,0.6562535923669388,0.3764877540385614,0.3498773365782454,0.421490376305274,0.4201592323205292,1,0,0,14,emergency,1.853,6.601,2,23.91,83.38,70.07,637.5,196.47,54.8,-0.0449,0.1825,-0.1316,-0.135,0.2833,-0.0621,0.0256,0.0672,0.0568,0.0563,0.1271,0.041,-0.5,-0.866,0,1,0,0,0,0,0,0,1
25,0.4344126422809149,0.6578629727554892,0.4664512767066178,0.35045181135814985,0.4228528433874592,0.48773261204086893,0,0,0,8,emergency,2.67,0.261,2,51.2,35.53,110.18,160.4,7.61,500.7,0.1095,0.0016,0.09,0.0006,0.0014,0.0676,0.0392,0.0825,0.0566,0.0705,0.1553,0.0373,0.866,-0.5,0,1,0,0,0,0,0,0,1
26,0.5050281799093821,0.6479193010690887,0.6191141219385095,0.42602135740556746,0.5038687964535186,0.5197511158687529,0,1,0,21,evaporative,1.334,2.969,1,26.91,52.84,94.11,1176.7,50.58,82.3,0.0706,-0.0099,0.1527,0.0756,0.081,0.032,0.0688,0.0876,0.0881,0.0679,0.1722,0.0385,-0.7071,0.7071,0,1,0,0,0,0,0,0,2
27,0.5277931263122997,0.6522301413955629,0.5848045857217299,0.38682650992209344,0.5011438622891481,0.511818173129307,0,0,0,6,air,1.437,0.822,0,22.71,50.44,61.87,792.8,10.23,38.8,0.0228,0.0043,-0.0343,-0.0392,-0.0027,-0.0079,0.0864,0.0805,0.0965,0.0571,0.1504,0.0392,1.0,0.0,0,1,0,0,0,0,0,0,0
28,0.54989501602387,0.7062593401540409,0.5659197498697237,0.38027227493318483,0.49894764669398384,0.5120093283760406,0,0,0,15,air,1.408,0.768,0,22.74,55.15,59.01,759.2,9.25,46.5,0.0221,0.054,-0.0189,-0.0066,-0.0022,0.0002,0.0912,0.0239,0.0995,0.0314,0.0434,0.041,-0.7071,-0.7071,0,1,0,0,0,0,0,0,0
29,0.7571002320698419,0.4395620186228304,0.7014903595622719,0.23325895625766246,0.1095667558031947,0.8962313743106465,0,0,0,1,emergency,2.606,0.432,2,42.66,36.98,102.59,74.5,4.99,456.8,0.2072,-0.2667,0.1356,-0.147,-0.3894,0.3842,0.1211,0.104,0.0853,0.0734,0.1699,0.1741,0.2588,0.9659,1,1,1,0,0,0,0,0,1
30,0.5202784838103656,0.45375905276468576,0.6447524752475247,0.4697075531682938,0.2224278349991358,0.4778881168340867,0,0,0,11,evaporative,1.327,2.991,1,29.77,38.0,96.57,1065.9,63.11,63.0,-0.2368,0.0142,-0.0567,0.2364,0.1129,-0.4183,0.1047,0.1239,0.0533,0.0891,0.188,0.1755,0.2588,-0.9659,0,1,0,0,0,0,0,0,2
31,0.7061553762846724,0.3220197723876308,0.6067743616466907,0.19657090781377096,0.13445719921505628,0.7505710762996167,0,0,0,12,emergency,2.453,0.274,2,43.73,29.92,85.0,130.7,7.32,367.6,0.1859,-0.1317,-0.038,-0.2731,-0.088,0.2727,0.111,0.1598,0.0538,0.1144,0.1933,0.1847,0.0,-1.0,1,1,1,0,0,0,0,0,1
32,0.7047187534534203,0.3827164041843891,0.5860969254820219,0.19341129652429712,0.12382182184217752,0.7741787492712205,0,0,0,9,air,1.589,0.937,0,22.58,61.0,56.91,780.7,5.0,63.5,-0.0014,0.0607,-0.0207,-0.0032,-0.0106,0.0236,0.1054,0.1467,0.0536,0.1241,0.1632,0.18,0.7071,-0.7071,1,1,1,0,0,0,0,0,0
33,0.982097469333628,0.22062880790895512,0.7295466388744136,0.04929646423829215,0.12048682779026143,1.0,0,0,0,9,emergency,2.405,0.497,2,47.84,26.95,93.42,207.3,7.61,403.8,0.2774,-0.1621,0.1434,-0.1441,-0.0033,0.2258,0.1654,0.0954,0.061,0.1521,0.0457,0.1963,0.7071,-0.7071,1,1,1,1,0,0,1,0,1
34,0.7635097800861974,0.29086676629497665,0.5267326732673268,0.2663434810821538,0.12746184583786643,0.7301174648991178,0,0,0,5,air,1.559,0.688,0,22.88,49.2,53.94,905.7,8.42,53.4,-0.2186,0.0702,-0.2028,0.217,0.007,-0.2699,0.1656,0.0888,0.0752,0.1531,0.0432,0.1854,0.9659,0.2588,1,1,0,0,0,0,0,0,0
35,0.6532213504254614,0.37696861708242335,0.34713913496612814,0.2080081784318667,0.02631391648280139,0.7126267598229902,0,0,0,23,air,1.516,0.807,0,19.79,52.98,53.49,842.5,13.37,44.7,-0.1103,0.0861,-0.1796,-0.0583,-0.1011,-0.0175,0.1291,0.0669,0.1397,0.0802,0.0451,0.1177,-0.2588,0.9659,0,1,0,0,0,0,0,0,0
36,0.3984970714996132,0.4706000689734453,0.20402292860865012,0.33914510319003244,0.03241451535825768,0.4165272826325901,0,0,0,11,air,1.583,0.699,0,20.68,46.21,50.67,632.9,10.32,57.8,-0.2547,0.0936,-0.1431,0.1311,0.0061,-0.2961,0.2102,0.0956,0.2059,0.1072,0.0519,0.2082,0.2588,-0.9659,0,1,0,0,0,0,0,0,0
37,0.3750690684053486,0.4197896309920681,0.2243251693590409,0.35006012400821496,0.048093054468180296,0.4102191594903801,0,0,0,21,air,1.453,0.822,0,20.46,52.16,61.78,822.5,12.71,56.9,-0.0234,-0.0508,0.0203,0.0109,0.0157,-0.0063,0.2554,0.1003,0.2217,0.1225,0.0491,0.2474,-0.7071,0.7071,0,1,0,0,0,0,0,0,0
38,0.04309868493756208,0.5514139556270836,0.08821261073475761,0.5215408458096634,0.05618651564295228,0.07980731551129253,0,0,0,14,air,1.441,0.951,0,17.8,49.85,60.77,864.0,11.59,58.1,-0.332,0.1316,-0.1361,0.1715,0.0081,-0.3304,0.2799,0.0979,0.1666,0.1182,0.0406,0.267,-0.5,-0.866,0,0,0,0,0,0,0,0,0
39,0.12653331859874006,0.5444591332337052,0.26526315789473665,0.5786749739201505,0.14981037305162123,0.1007388150286255,0,0,0,16,evaporative,1.326,2.43,1,30.43,47.99,96.41,1124.5,54.46,75.3,0.0834,-0.007,0.1771,0.0571,0.0936,0.0209,0.242,0.0763,0.0945,0.1498,0.0502,0.262,-0.866,-0.5,0,0,0,0,0,0,0,0,2
40,0.33506464802740643,0.41329463156684687,0.44439812402292844,0.38901995908172815,0.13350143872456813,0.482475842755694,0,0,1,23,emergency,2.616,0.469,2,38.66,30.16,96.46,116.2,5.35,444.1,0.2085,-0.1312,0.1791,-0.1897,-0.0163,0.3817,0.1603,0.066,0.1293,0.108,0.0536,0.1918,-0.2588,0.9659,0,1,0,0,0,0,0,0,1
41,0.353961763730799,0.6451028853891254,0.4900885878061487,0.3883149218518457,0.5657898750393998,0.49337169181951124,1,0,0,14,emergency,1.978,5.227,2,22.39,86.54,61.63,630.2,222.9,69.2,0.0189,0.2318,0.0457,-0.0007,0.4323,0.0109,0.1514,0.0981,0.1649,0.0989,0.2145,0.2062,-0.5,-0.866,0,1,0,0,0,0,0,0,1
42,0.3495413857884848,0.5822795723646399,0.5039708181344447,0.36695490503540207,0.5604010126994133,0.4960478652737821,0,0,0,14,air,1.406,0.947,0,20.06,41.23,65.11,740.7,10.06,59.7,-0.0044,-0.0628,0.0139,-0.0214,-0.0054,0.0027,0.1463,0.0848,0.1786,0.095,0.249,0.2195,-0.5,-0.866,0,1,0,0,0,0,0,0,0
43,0.42192507459387785,0.6149844809748248,0.4997186034392911,0.38050728734314554,0.5567609887037245,0.4951876666634807,0,0,0,23,air,1.538,0.683,0,24.35,55.54,59.75,915.9,9.8,57.2,0.0724,0.0327,-0.0043,0.0136,-0.0036,-0.0009,0.1118,0.0902,0.1009,0.0888,0.2298,0.175,-0.2588,0.9659,0,1,0,0,0,0,0,0,0
44,0.33882196927837316,0.6150994367168641,0.32629494528400205,0.29903631855671053,0.4667771552907445,0.482475842755694,0,0,0,15,air,1.444,0.995,0,22.91,48.01,54.81,812.5,10.21,62.0,-0.0831,0.0001,-0.1734,-0.0815,-0.09,-0.0127,0.0355,0.0926,0.0746,0.0378,0.1852,0.0069,-0.7071,-0.7071,0,1,0,0,0,0,0,0,0
45,0.4421483036799647,0.6214220025290265,0.3518082334549242,0.3291701320116932,0.45898872405974533,0.5848394773815555,0,0,0,0,emergency,2.669,0.25,2,48.01,31.26,102.58,231.6,1.52,551.2,0.1033,0.0063,0.0255,0.0301,-0.0078,0.1024,0.0472,0.0224,0.0876,0.0377,0.0539,0.042,0.0,1.0,0,1,0,0,0,0,0,0,1
46,0.4207094706597414,0.3988102080698932,0.37110995310057304,0.37708655115371514,0.01980661101564804,0.569929368136332,0,0,0,22,air,1.55,0.902,0,20.45,47.81,66.26,813.7,6.93,53.6,-0.0214,-0.2226,0.0193,0.0479,-0.4392,-0.0149,0.047,0.095,0.0848,0.0353,0.2247,0.0478,-0.5,0.866,0,1,0,0,0,0,0,0,0
47,0.7240579069510444,0.33380273594666066,0.5026784783741529,0.204300204852484,0.010879401327897026,0.8349661177325165,0,0,0,17,emergency,2.523,0.285,2,47.51,29.92,96.67,79.0,5.67,337.0,0.3033,-0.065,0.1316,-0.1728,-0.0089,0.265,0.1477,0.1393,0.0845,0.0721,0.2651,0.1422,-0.9659,-0.2588,1,1,1,0,0,0,0,0,1
48,0.7660514974030279,0.2825324749971261,0.6912767066180301,0.29903631855671053,0.0845339650842391,0.8541772200292468,0,0,0,18,evaporative,1.318,2.567,1,28.15,46.62,104.99,1278.7,46.02,77.3,0.042,-0.0513,0.1886,0.0947,0.0737,0.0192,0.1932,0.1588,0.1518,0.0631,0.2342,0.1684,-1.0,-0.0,1,1,1,0,0,0,0,0,2
49,1.0,0.19947695137372135,0.9412819176654508,0.10669171724873583,0.06936380921393784,1.0,0,0,0,7,emergency,2.585,0.232,2,46.83,33.56,114.78,75.9,2.75,511.2,0.2339,-0.0831,0.25,-0.1923,-0.0152,0.1458,0.2424,0.1597,0.2471,0.1079,0.1873,0.1861,0.9659,-0.2588,1,1,1,1,0,1,1,0,1
50,0.7039451873135152,0.158897574433843,0.7972902553413235,0.24641965121547116,0.09032953401592259,0.8012272166840299,0,0,0,10,humidity_warn,1.567,0.785,1,18.47,24.2,68.04,766.7,11.83,46.6,-0.2961,-0.0406,-0.144,0.1397,0.021,-0.1988,0.2064,0.0975,0.2276,0.1014,0.0371,0.1552,0.5,-0.866,1,1,1,1,0,1,0,0,3
51,0.6938888274947508,0.15096562823313042,0.7800729546638874,0.23936927891664506,0.0931561448282173,0.7889932808930774,0,0,0,21,air,1.486,0.938,0,19.54,46.43,62.13,786.7,8.32,40.8,-0.0101,-0.0079,-0.0172,-0.0071,0.0028,-0.0122,0.1274,0.0801,0.1613,0.0714,0.0341,0.0847,-0.7071,0.7071,0,1,1,1,0,1,0,0,0
52,0.5114377279257376,0.23551557650304633,0.8212610734757686,0.5021131532528983,0.18261125967199116,0.5561661903715103,0,0,0,10,evaporative,1.216,2.716,1,31.0,44.63,106.55,1085.2,49.66,93.4,-0.1825,0.0845,0.0412,0.2627,0.0895,-0.2328,0.1759,0.0548,0.0901,0.1436,0.0449,0.1601,0.5,-0.866,0,1,0,1,0,1,0,0,2
53,0.4287766604044645,0.19746522588803317,0.6531735278791035,0.33935400310999764,0.10905837256357331,0.5302646544391028,0,0,0,10,air,1.576,0.617,0,20.67,40.0,64.67,655.4,9.85,50.2,-0.0827,-0.0381,-0.1681,-0.1628,-0.0736,-0.0259,0.2202,0.0343,0.1029,0.1462,0.0436,0.1946,0.5,-0.866,0,1,0,1,0,0,0,0,0
54,0.4190518289313736,0.22424991378319348,0.5871808233454923,0.34580378813892365,0.1146302528698234,0.3264931614210481,0,0,0,14,emergency,2.472,0.452,2,45.95,38.22,98.95,100.6,5.49,298.0,-0.0097,0.0268,-0.066,0.0064,0.0056,-0.2038,0.1394,0.0379,0.102,0.1061,0.0376,0.1986,-0.5,-0.866,0,0,0,1,0,0,0,0,1
55,0.5687921317272626,0.31845614438441205,0.6512975508077123,0.4852444847157068,0.18936258909416273,0.33624207900446357,0,0,1,10,evaporative,1.338,1.866,1,32.02,40.59,83.42,1300.7,48.58,56.8,0.1497,0.0942,0.0641,0.1394,0.0747,0.0097,0.113,0.0614,0.098,0.1102,0.0448,0.1899,0.5,-0.866,0,0,0,0,0,0,0,0,2
56,0.6007293623604819,0.33110127600873684,0.655049504950495,0.48827353355520253,0.1938770322620004,0.3428369350167739,0,0,1,20,air,1.431,0.781,0,22.43,48.63,63.03,798.3,10.54,47.7,0.0319,0.0126,0.0038,0.003,0.0045,0.0066,0.0813,0.0597,0.0874,0.0821,0.0423,0.1145,-0.866,0.5,0,0,0,0,0,0,0,0,0
57,0.46093490993479946,0.35518450396597334,0.48700364773319427,0.4215822341063067,0.11259671991133796,0.3138769151366282,0,0,0,22,air,1.438,0.635,0,18.35,48.82,66.24,829.8,9.69,63.1,-0.1398,0.0241,-0.168,-0.0667,-0.0813,-0.029,0.0836,0.0699,0.0728,0.0722,0.0436,0.0903,-0.5,0.866,0,0,0,0,0,0,0,0,0
58,0.6029395513316389,0.36288653868260745,0.5794684731631055,0.5302624174682115,0.19096908013136624,0.32439045370697817,0,0,0,11,evaporative,1.298,1.81,1,33.52,41.34,86.85,1071.6,48.39,61.2,0.142,0.0077,0.0925,0.1087,0.0784,0.0105,0.085,0.0556,0.0684,0.072,0.0426,0.0112,0.2588,-0.9659,0,0,0,0,0,0,0,0,2
59,0.42700850922753886,0.36374870674790216,0.5964773319437204,0.8109977974114689,0.28839564417240293,0.12224378028615943,0,0,0,22,evaporative,1.232,2.79,1,30.03,38.37,103.03,1175.7,53.4,86.5,-0.1759,0.0009,0.017,0.2807,0.0974,-0.2021,0.0824,0.0204,0.0683,0.1525,0.0624,0.0933,-0.5,0.866,0,0,0,0,0,0,0,0,2
60,0.3160570228754558,0.2743706173123348,0.4906722251172484,0.6906714435115032,0.2194385415501622,0.11335506131304543,0,0,0,17,humidity_warn,1.582,0.746,1,21.98,25.04,58.04,839.9,14.67,47.5,-0.111,-0.0894,-0.1058,-0.1203,-0.069,-0.0089,0.1222,0.0377,0.0722,0.1591,0.0631,0.1151,-0.9659,-0.2588,0,0,0,0,0,0,0,0,3
61,0.44590562493093144,0.2253419933325671,0.6103595622720166,0.789063305815121,0.3123099917641915,0.11593565714394946,0,0,0,8,evaporative,1.281,2.751,1,34.18,40.1,91.74,1175.1,56.21,50.4,0.1298,-0.049,0.1197,0.0984,0.0929,0.0026,0.1025,0.0632,0.0594,0.1684,0.0798,0.1107,0.866,-0.5,0,0,0,1,0,0,0,0,2
62,0.49939219803293167,0.20539717208874597,0.589932256383533,0.7978371024536602,0.31743449481957475,0.09768033108088739,0,0,1,3,air,1.54,0.764,0,23.19,45.35,61.34,863.4,12.21,44.0,0.0535,-0.0199,-0.0204,0.0088,0.0051,-0.0183,0.1049,0.0746,0.0476,0.1182,0.0572,0.0953,0.7071,0.7071,0,0,0,1,0,0,0,0,0
63,0.5364128632998122,0.21965168410162095,0.6086920270974463,0.542900862626107,0.23137538001647165,0.41920345608686094,0,0,0,16,emergency,2.506,0.254,2,36.87,43.82,91.35,95.3,6.07,397.6,0.037,0.0143,0.0188,-0.2549,-0.0861,0.3215,0.0841,0.0647,0.0502,0.1131,0.0457,0.1375,-0.866,-0.5,0,1,0,1,0,0,0,0,1
64,0.4337495855895679,0.2825324749971261,0.4192600312662844,0.44236777614284584,0.1509491515083731,0.37428197310445677,0,0,0,22,air,1.501,0.725,0,20.74,49.31,57.59,790.7,13.85,39.5,-0.1027,0.0629,-0.1894,-0.1005,-0.0804,-0.0449,0.0838,0.0347,0.0853,0.156,0.0697,0.1586,-0.5,0.866,0,0,0,0,0,0,0,0,0
65,0.41971488562272086,0.4134095873088861,0.4300990099009898,0.42983378094493274,0.14157456456975526,0.38250164871400305,0,0,0,15,air,1.536,0.645,0,20.71,47.81,60.64,791.9,10.06,56.1,-0.014,0.1309,0.0108,-0.0125,-0.0094,0.0082,0.0491,0.0858,0.0981,0.1816,0.0844,0.1572,-0.7071,-0.7071,0,0,0,0,0,0,0,0,0
66,0.29616532213504265,0.4878434302793426,0.3298384575299633,0.3337137052709367,0.048886132321989614,0.40027908666023115,0,1,0,10,air,1.497,0.831,0,23.0,53.05,67.69,807.0,10.63,69.0,-0.1235,0.0744,-0.1003,-0.0961,-0.0927,0.0178,0.0921,0.124,0.1197,0.1775,0.1013,0.1337,0.5,-0.866,0,1,0,0,0,0,0,0,0
67,0.36766493535197253,0.5479078054948845,0.45231891610213637,0.4284498189751632,0.1258756901302478,0.44567845775946946,0,0,0,19,evaporative,1.225,2.765,1,29.66,55.8,90.72,1226.2,50.07,91.5,0.0715,0.0601,0.1225,0.0947,0.077,0.0454,0.0886,0.1375,0.1012,0.0742,0.0651,0.0288,-0.9659,0.2588,0,1,0,0,0,0,0,0,2
68,0.40965852580395623,0.4364007357167492,0.5338613861386139,0.4513765851913458,0.12797022907748776,0.48381392948282953,0,0,0,21,emergency,2.23,0.374,2,40.67,24.42,110.91,183.1,7.1,437.5,0.042,-0.1115,0.0815,0.0229,0.0021,0.0381,0.0556,0.0991,0.0731,0.0476,0.0405,0.0463,-0.7071,0.7071,0,1,0,0,0,0,0,0,1
69,0.41551552657752233,0.43812507184733884,0.5008025013027619,0.43886870248342846,0.11186464804628321,0.4920336050923758,0,1,1,4,security_alert,1.601,0.868,2,21.27,49.61,49.66,742.8,5.93,48.1,0.0059,0.0017,-0.0331,-0.0125,-0.0161,0.0082,0.0522,0.0538,0.0782,0.0471,0.0364,0.0488,0.866,0.5,0,1,0,0,0,0,0,1,4
